Comment,Designator,Footprint,LCSC Part #
"STM32U575RGT6 Ultra-low-power Arm Cortex-M33 32-bit MCU+TrustZone+FPU, 240 DMIPS, up to 2 MB Flash memory, 786 KB SRAM",B1,QFP50P1200X1200X160-64N,C5270980
2.2u Capacitor 0603 CL10A225KO8NNNC,"C1, C10, C16",0603,C23630
100n Capacitor 0402 CL05B104KO5NNNC,"C2, C4, C5, C6, C7, C8, C9, C11, C12, C13, C14, C19",0402,C1525
4.7u Capacitor 0603 CL10A475KO8NNNC,"C3, C15",0603,C19666
18p Capacitor 0402 0402CG180J500NT,"C17, C18",0402,C1549
"SMF5.0AT1G 200 W Transient Voltage Suppressor, 2-Pin SOD-123FL, Pb-Free, Tape and Reel","D1, D2",ONSC-SOD-123FL-2-498_V,C2857263
Red Light-Emitting Diode 0603 KT-0603R,"D3, D4, D5, D6, D7",0603,C2286
USBLC6-2SC6 USB TVS protection,IC1,SOT95P280X145-6N,C7519
TYPE-C_16PIN_2MD_(073) DC-5V 5A Type C USB,J1,SHOUHAN_TYPE-C_16PIN_2MD_(073),C2765186
PZ254V-11-04P,J2,HDRV4W64P0X254_1X4_1016X250X890P,C2691448
"B2B-PH-K-S(LF)(SN) Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk",J3,JST-B2B-PH-K-S_V,C131337
TF-01A Standard Card Edge Connectors,J4,TF-01A,C91145
"SM06B-SRSS-TB(LF)(SN) Male Header, Pitch 1 mm, 1 x 6 Position, Height 2.95 mm, -25 to 85 degC, RoHS, Tape and Reel",P1,JST-SM06B-SRSS-TB_V,C160405
10k Resistor 0402 0402WGF1002TCE,"R1, R2, R3, R4, R5, R6, R18, R23, R26",0402,C25744
22 Resistor 0402 0402WGF220JTCE,"R7, R8, R9, R10, R12, R13, R17, R19, R20",0403,C25092
5k1 Resistor 0402 0402WGF5101TCE,"R11, R14",0404,C25905
4k7 Resistor 0402 0402WGF4701TCE,"R15, R16",0405,C25900
470 Resistor 0603 0603WAF4700T5E,"R21, R22, R24, R25, R27",0603,C23179
TS-1109S-C-A Switch (4-Pin Push),S1,TS1109SCA,C397346
"BMP388 P-Sensor SPI I2C 1, 25 Bar SMD",U1,PQFN50P200X200X80-10N,C779278
LSM6DSO32TR INEMO INERTIAL MODULE: 3D ACCELE,U2,FP-LGA-14L-DM00249496-MFG,C1864162
AP2112K-3.3TRG1 IC REG LINEAR 3.3V 600MA SOT25,U4,FP-SOT25-IPC_C,C23380830
X32258MOB4SI 8MHz Crystal,Y1,SMD3225-4P,C2682775
